CareerAge,GRW,ARW,ARW4,CS_empirical,Shockley,Naïve-GRW-S,Naïve-GRW-Y,AR(1)-GRW-S,AR(1)-GRW-Y,Hurdle-AR(1)-GRW-P,Hurdle-AR(1)-GRW-Y,Hurdle-AR(1)-GRW-PG-ZD,Hurdle-TGRW-PG-ZD,hurdle-AR(1)-PG-ZR-P/AD-se,hurdle-AR(1)-PG-ZR-P/AD
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999
1,0.667096594582966,0.3574330839463308,0.4256085650120856,0.4259554467065403,0.2057150446251504,0.6119636143346325,0.5688436599940718,0.3877569549874348,0.27660757439360883,0.5228451338190805,0.4205285427096905,0.465374898842085,0.517086751634889,0.45560122192712016,0.4399840098512109
2,0.5307682677516827,0.1713515579015155,0.208496404280964,0.4117834486631907,0.2165712481017125,0.47965250353880656,0.44884023659596944,0.181586270857875,0.114820015187601,0.30246975317313335,0.2213032092352745,0.27251853239572166,0.3570564273728599,0.31570340363585403,0.2696468773296121
3,0.4512846158888461,0.0923007493790075,0.119923502075235,0.3446605070072625,0.1943509730755097,0.4090039126353793,0.3942835896586631,0.08754958481709364,0.05837185739648716,0.19230760711254197,0.12771798304694262,0.17026087081625754,0.26467555371044177,0.2515959046859609,0.18055114940108655
4,0.3981682422336824,0.0445540754415407,0.0725112560331125,0.3695363640917312,0.1830876374828763,0.3559980320660771,0.35107298810014026,0.03447146296388405,0.02361714319717841,0.12361548114416508,0.07283486356580039,0.11017729333754311,0.1965397634946018,0.20040382481171662,0.12828840337435923
5,0.3665378819813788,0.0217354781293547,0.0468274498202745,0.3435925960203809,0.2025082616130826,0.32175577628235086,0.32210664770465236,0.017380521715359164,0.01370061177572213,0.07754520287709107,0.03664812557364728,0.0748914334239792,0.15294940684801028,0.17779570841066358,0.09638452515097322
6,0.3419367410033674,0.0043661346676613,0.0283543925235439,0.3302159602293854,0.2063797899597979,0.2983215216648029,0.29789806402264507,0.008444821067133814,0.006050921621588774,0.04985225587880871,0.021260536105016593,0.05018358208475721,0.11489511796285808,0.16079277040058113,0.06954415698633708
7,0.3164553863965538,-0.0023340731993407,0.0239685788756857,0.3138854887651601,0.2008304610163046,0.28203617625789457,0.2826301758779501,0.014176719207892622,0.012906704723745428,0.0333344388735198,0.009105588777525183,0.031007423036960354,0.0875587294831904,0.15105486310539828,0.05152109987851265
8,0.2952002139240021,-0.0027334405473344,0.0043583144835831,0.297423762750571,0.202930200325302,0.2679630470876439,0.26812434343113906,0.009427947683958758,0.008658365141369672,0.019761191292135747,0.0073615767606176755,0.019280597904778988,0.06188283820890733,0.14226010077356402,0.04319679283026603
9,0.2750029753340297,0.0159735676957356,0.0036162679801626,0.2999907895351656,0.1820428207524282,0.25496559385342926,0.2549821100410859,0.005023095862970697,0.004347954570904195,0.012610693280214627,-0.0026639163151363377,0.012882174270355656,0.04743714443311925,0.1372933133731952,0.037080364661024344
10,0.266385802199858,-0.0022090838620908,-0.005457508230575,0.297759629608054,0.1957880922498809,0.24478952078635366,0.24398222478401063,0.006704860160467714,0.006280150080530002,0.00849782002835333,-0.0009804472751867841,0.006801019848218241,0.03615531126000155,0.1354494929198167,0.02668370539872375
11,0.2584725908567259,0.0025180221611802,0.0043613341996133,0.3310185257846767,0.1977317917773179,0.23473284945814576,0.23381338472969446,0.005111873847568832,0.004849950127647599,0.005983470048327116,0.008420700877748006,0.005853819314536573,0.021740921602768536,0.13367689440209177,0.03037520294490772
12,0.2521372229413722,0.002526506017265,-0.0006437300104373,0.322190974172369,0.1942822186788222,0.22523732139846908,0.2246655746448588,-0.0005742197639663,-0.0007648830928576489,0.0010254730365683075,0.0012573613315920776,0.004884110722827253,0.01817583891371141,0.13238792963402482,0.026985390251031204
13,0.2473725660977256,0.0032536465045364,-0.0155674305356743,0.3012164428663959,0.1938975346629753,0.21724624770515397,0.2176195732341335,0.0018000397303955381,0.0015557750800064111,-0.00022692384159990982,-0.00039279548405850924,0.003814142166032322,0.0157640029539299,0.13361972904607258,0.021778309747505796
14,0.2422761419267614,0.0142035991660359,-0.0115042790470427,0.3004166917703592,0.1972050643960506,0.21074620745380787,0.21112302540362277,-0.002242984012937303,-0.0022323041676787373,-0.002764149685307007,0.00020128408378453503,0.009844582473935107,0.01145558698756144,0.13144873643117036,0.022440321848302937
15,0.2399172896751729,0.0070574136225741,-0.0069644975136449,0.3002902760640591,0.2073750963577509,0.20024542217592275,0.20017813819453678,-0.008875025988916294,-0.008908308706019349,0.005249232636494212,0.0022283019129625647,0.00920911612052033,0.004474270608425168,0.13161920581681183,0.02534550553382855
16,0.2362654800826548,0.013862900442629,-0.0053604822416048,0.274587131687735,0.1982422354224223,0.19800005210474722,0.1976869058539974,6.945324280742213e-05,0.000646342791915111,0.006904855629894309,0.0018029085999174258,0.01192292520231406,-0.0020534624160723023,0.1294881135890531,0.0249180082575474
17,0.2269413409334134,0.0127023965830239,-0.0115061717230617,0.2327073669465583,0.2049934447419344,0.19128581574476178,0.1910794961342788,-0.005336725985288787,-0.004895327568158701,0.005088673747520143,0.005596361721483741,0.00899763795849474,-0.0031816358308604602,0.12823253046872912,0.02015021406052868
18,0.2208024295560243,-0.0099015978270159,-0.005982105755821,0.2436284838577276,0.1951735924877359,0.1846611524032204,0.18372106240614716,-0.003487525235287818,-0.003172012618716564,0.0010834701288477302,0.004641537632196676,0.011525928062342506,0.002166822779157876,0.13632190602086444,0.02838833606223739
19,0.2163913834359138,-0.0193043360770433,-0.0182427677544276,0.2087253091005474,0.1978757294627573,0.17981353629654226,0.18008785700639915,-0.00038606996302918174,-0.00027700133622598306,-0.0038384903904217353,0.008367299606752974,0.014249931779629176,0.004984078842769615,0.1297088273328603,0.021434548496263105
20,0.2081238760372387,-0.00831700685917,-0.0096283945922839,0.2015708864185977,0.1948828927248289,0.17579201897783203,0.1761833259495897,0.003909043687491726,0.003952818745315568,-0.008310242905065884,0.006289346314546346,0.0065217898074777705,0.004418835905364459,0.13015209670080055,0.024648396697691265
