CareerAge,GRW,ARW,ARW4,CS_empirical,Shockley,hurdle_ar1_grw_p_se
0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
1,0.667096594582966,0.3574330839463308,0.4256085650120856,0.4259554467065403,0.2057150446251504,0.2756495251974922
2,0.5307682677516827,0.1713515579015155,0.208496404280964,0.4117834486631907,0.2165712481017125,0.17341334515767765
3,0.4512846158888461,0.0923007493790075,0.119923502075235,0.3446605070072625,0.1943509730755097,0.1164069004797485
4,0.3981682422336824,0.0445540754415407,0.0725112560331125,0.3695363640917312,0.1830876374828763,0.16038059336260235
5,0.3665378819813788,0.0217354781293547,0.0468274498202745,0.3435925960203809,0.2025082616130826,0.12092048522965207
6,0.3419367410033674,0.0043661346676613,0.0283543925235439,0.3302159602293854,0.2063797899597979,0.11533931856665175
7,0.3164553863965538,-0.0023340731993407,0.0239685788756857,0.3138854887651601,0.2008304610163046,0.09094189794988809
8,0.2952002139240021,-0.0027334405473344,0.0043583144835831,0.297423762750571,0.202930200325302,0.12835638053676396
9,0.2750029753340297,0.0159735676957356,0.0036162679801626,0.2999907895351656,0.1820428207524282,0.10906597990986057
10,0.266385802199858,-0.0022090838620908,-0.005457508230575,0.297759629608054,0.1957880922498809,0.14086154904422465
11,0.2584725908567259,0.0025180221611802,0.0043613341996133,0.3310185257846767,0.1977317917773179,0.09355732337375568
12,0.2521372229413722,0.002526506017265,-0.0006437300104373,0.322190974172369,0.1942822186788222,0.08074073317013358
13,0.2473725660977256,0.0032536465045364,-0.0155674305356743,0.3012164428663959,0.1938975346629753,0.11554922032769846
14,0.2422761419267614,0.0142035991660359,-0.0115042790470427,0.3004166917703592,0.1972050643960506,0.07771058676256001
15,0.2399172896751729,0.0070574136225741,-0.0069644975136449,0.3002902760640591,0.2073750963577509,0.0622610700024535
16,0.2362654800826548,0.013862900442629,-0.0053604822416048,0.274587131687735,0.1982422354224223,0.12003838916132228
17,0.2269413409334134,0.0127023965830239,-0.0115061717230617,0.2327073669465583,0.2049934447419344,0.1283483253750538
18,0.2208024295560243,-0.0099015978270159,-0.005982105755821,0.2436284838577276,0.1951735924877359,0.10546081297999808
19,0.2163913834359138,-0.0193043360770433,-0.0182427677544276,0.2087253091005474,0.1978757294627573,0.09758042224530113
20,0.2081238760372387,-0.00831700685917,-0.0096283945922839,0.2015708864185977,0.1948828927248289,0.09704616406768
