year,n,intercept,beta,sigma_resid,var_resid,implied_stationary_mean_log,implied_stationary_var_log,mean_resid,sd_resid
0,2067,0.7426228275623477,0.34921898069013546,1.0446115309960378,1.091213250689886,1.1411255176893125,1.2427744355429435,-6.823547801082723e-16,1.0446115309960378
1,2143,0.9662991695555446,0.3907301746624449,0.9910721635649348,0.9822240333932808,1.5859954479448968,1.1591990296957784,5.404501443252278e-16,0.9910721635649347
2,2202,0.9124630446462715,0.48060233943617764,0.9275704773398585,0.860386990432493,1.7567715720085537,1.1188076172318004,3.081599966625321e-16,0.9275704773398585
3,2247,0.8089678502784512,0.5265833654625153,0.9237659469655238,0.853343524773111,1.708786280965372,1.1807551755565395,5.533821929595795e-16,0.9237659469655238
4,2259,0.8084499263439993,0.5289900399046702,0.9140647961012126,0.8355144514715513,1.7164178994864003,1.1601635555999914,1.1166120902825834e-16,0.9140647961012126
5,2200,0.7395519884410892,0.5259446906310618,0.924040537785196,0.8538509154703543,1.560054225372098,1.180359340122308,3.867613300330545e-16,0.924040537785196
6,2142,0.679839037665023,0.5533012092214119,0.890069569917874,0.7922238392937891,1.5219182404323852,1.1417669029691446,-1.243947366526786e-16,0.890069569917874
7,2059,0.6260204653398378,0.5529783551129092,0.9239908785180668,0.8537591435845889,1.4004253988595086,1.229819607583098,-5.728513556880847e-16,0.9239908785180668
8,1985,0.6626846288073676,0.5471285702131863,0.9006147489164417,0.8111069259658252,1.4632952869632823,1.1576486785909377,-1.9598093089604779e-16,0.9006147489164417
9,1895,0.5537149432750841,0.5921116687258234,0.9151375186508092,0.8374766780423601,1.3575160180370176,1.2896085832305821,-4.691644317255015e-16,0.9151375186508092
10,1814,0.5797832388003589,0.5879077214484942,0.91031395921491,0.8286715043415248,1.4069257517716243,1.2663759882051004,-3.740729397193471e-16,0.91031395921491
11,1710,0.5622173669556543,0.5805942644479596,0.9017467068126717,0.8131471232474984,1.3405094859173512,1.2266322051972016,3.6981464024940887e-16,0.9017467068126717
12,1599,0.514025594772839,0.6142340322767363,0.8789174337109131,0.7724958552809774,1.332480409836424,1.2405256465781949,-4.077066667041225e-16,0.8789174337109131
13,1493,0.43438067773801864,0.6215608724924676,0.8986824964099337,0.8076302293535905,1.147821792632615,1.316082993106787,3.0161182772134195e-16,0.8986824964099337
14,1367,0.5113070877488964,0.6119176939203987,0.8963445543211092,0.8034335600611078,1.317522287769595,1.2843496264929435,5.730602532373888e-16,0.8963445543211092
15,1271,0.5400329773166325,0.5869805831786836,0.9299628239358856,0.8648308539028069,1.3075244294150599,1.3194383197381445,-2.1383367146202858e-16,0.9299628239358856
16,1174,0.48939256415027416,0.6385541744424406,0.883605244367354,0.7807582278734914,1.3539859352237544,1.3182948381764266,4.841858506031347e-17,0.883605244367354
17,1094,0.37617502284464494,0.6549212809933518,0.9194570803174478,0.8454013225458856,1.0901136526978867,1.4803602157064495,-4.3191126076825105e-16,0.9194570803174478
18,1023,0.4662925615246453,0.6430976596917762,0.8872852310518397,0.7872750812427165,1.3064990303004214,1.3424982633935405,-3.0213694042584903e-16,0.8872852310518397
19,957,0.4401136967820098,0.642340643526042,0.8780961793501197,0.7710529001892776,1.230538748156741,1.3126572560907053,4.723958366012161e-16,0.8780961793501197
