year,n,P_nothing_to_nothing,P_nothing_to_something,P_something_to_nothing,P_something_to_something
0,2067,0.38018433179723504,0.619815668202765,0.16411512553582364,0.8358848744641764
1,2143,0.3163972286374134,0.6836027713625866,0.10877192982456141,0.8912280701754386
2,2202,0.3622291021671827,0.6377708978328174,0.07503991484832358,0.9249600851516764
3,2247,0.3798449612403101,0.6201550387596899,0.0824534942182001,0.9175465057817999
4,2259,0.4083969465648855,0.5916030534351145,0.0756134201301953,0.9243865798698047
5,2200,0.4418604651162791,0.5581395348837209,0.07723995880535531,0.9227600411946447
6,2142,0.4083969465648855,0.5916030534351145,0.07819148936170213,0.9218085106382978
7,2059,0.40711462450592883,0.5928853754940712,0.09523809523809523,0.9047619047619048
8,1985,0.4072727272727273,0.5927272727272728,0.08596491228070176,0.9140350877192982
9,1895,0.4826254826254826,0.5173745173745173,0.09352078239608802,0.906479217603912
10,1814,0.4528985507246377,0.5471014492753623,0.0929778933680104,0.9070221066319896
11,1710,0.4548872180451128,0.5451127819548872,0.09695290858725762,0.9030470914127424
12,1599,0.4864864864864865,0.5135135135135135,0.0873134328358209,0.9126865671641791
13,1493,0.5020746887966805,0.4979253112033195,0.10862619808306709,0.8913738019169329
14,1367,0.4708171206225681,0.5291828793774319,0.0990990990990991,0.9009009009009009
15,1271,0.45652173913043476,0.5434782608695652,0.11047070124879924,0.8895292987512008
16,1174,0.4931506849315068,0.5068493150684932,0.10157068062827225,0.8984293193717278
17,1094,0.5148514851485149,0.48514851485148514,0.13452914798206278,0.8654708520179372
18,1023,0.5068493150684932,0.4931506849315068,0.10323383084577115,0.8967661691542289
19,957,0.47150259067357514,0.5284974093264249,0.10863874345549739,0.8913612565445026
