year,n_active_transitions,observed_dropout_rate,restart_prob_if_zero,dropout_intercept,dropout_gamma_log1p_q,pred_drop_q25,pred_drop_q50,pred_drop_q75,pred_drop_q95
0,1633,0.16411512553582364,0.619815668202765,0.2482224302937142,1.1885530696134916,0.18760498835992395,0.11556123938137483,0.06876741289072184,0.033803866840654416
1,1710,0.10877192982456141,0.6836027713625866,-0.22171956027319872,1.1885530696134916,0.12613313568598014,0.07550179593254276,0.04411992024939441,0.021399966823123704
2,1879,0.07503991484832358,0.6377708978328174,-0.46805072332805847,1.1885530696134916,0.10138575814169196,0.06000617524688585,0.03482236726876906,0.016806093954827232
3,1989,0.0824534942182001,0.6201550387596899,-0.26552759236302886,1.1885530696134916,0.12138301695750027,0.07250023773812601,0.04230884759668135,0.020501519652437718
4,1997,0.0756134201301953,0.5916030534351145,-0.2911965127807505,1.1885530696134916,0.11867194456690693,0.07079298624503313,0.041280906654273745,0.01999235164215289
5,1942,0.07723995880535531,0.5581395348837209,-0.2168187195255791,1.1885530696134916,0.12667431433612186,0.07584459333298507,0.04432706752862996,0.021502841361158775
6,1880,0.07819148936170213,0.5916030534351145,-0.25560472037811827,1.1885530696134916,0.12244526523604496,0.07317032791945331,0.04271274156660818,0.02070173387910527
7,1806,0.09523809523809523,0.5928853754940712,-0.08136314981938686,1.1885530696134916,0.14243226144604706,0.08590140483732876,0.05043279408315589,0.024545446070314423
8,1710,0.08596491228070176,0.5927272727272728,-0.2522399473333929,1.1885530696134916,0.12280727780419355,0.07339884279260744,0.04285053351523394,0.0207700586269968
9,1636,0.09352078239608802,0.5173745173745173,-0.17879884720385877,1.1885530696134916,0.1309404124451918,0.0785528373082592,0.04596586632448393,0.02231752014253196
10,1538,0.0929778933680104,0.5471014492753623,-0.22156250124717022,1.1885530696134916,0.12615044830872632,0.07551275958370761,0.04412654442940135,0.0214032562017922
11,1444,0.09695290858725762,0.5451127819548872,-0.1702723435392758,1.1885530696134916,0.1319137430755617,0.079172227168002,0.04634123001646392,0.022504323460562536
12,1340,0.0873134328358209,0.5135135135135135,-0.2986522463103047,1.1885530696134916,0.11789437179678496,0.07030410481886346,0.040986839725518136,0.019846795600116582
13,1252,0.10862619808306709,0.4979253112033195,-0.07291100952065681,1.1885530696134916,0.14346777413779238,0.08656741386520304,0.050839102872213396,0.024748630697701314
14,1110,0.0990990990990991,0.5291828793774319,-0.2183097966151613,1.1885530696134916,0.1265094513633523,0.0757401465493872,0.044263945154415424,0.02147149077332377
15,1041,0.11047070124879924,0.5434782608695652,-0.0833471541305955,1.1885530696134916,0.1421900964948707,0.08574574408728126,0.050337866152672266,0.024497987903311258
16,955,0.10157068062827225,0.5068493150684932,-0.1709678327868645,1.1885530696134916,0.1318341212443075,0.0791215380676911,0.04631050345502627,0.022489029252045212
17,892,0.13452914798206278,0.48514851485148514,0.191401810568325,1.1885530696134916,0.1790982809780465,0.10987942584300128,0.06521666699838176,0.03199640432366162
18,804,0.10323383084577115,0.4931506849315068,-0.14484116439544958,1.1885530696134916,0.13485328944492553,0.08104621619316944,0.04747818429099156,0.023070601410471448
19,764,0.10863874345549739,0.5284974093264249,-0.10107732839032733,1.1885530696134916,0.1400411993521753,0.08436598543762502,0.04949701926908219,0.024077828357738223
