year,n_zero_transitions,observed_restart_rate,restart_intercept,restart_rho_zero_run_excess,pred_restart_run1,pred_restart_run2,pred_restart_run3,pred_restart_run5
0,434,0.619815668202765,0.48876595053289146,0.2992232754767833,0.6198156787670794,0.5472443101178586,0.47260730518845795,0.33001280326429216
1,433,0.6836027713625866,0.888162947147258,0.2992232754767833,0.7085109239184877,0.6431218201731438,0.5719267006069205,0.4234247239096557
2,323,0.6377708978328174,0.7718682107064394,0.2992232754767833,0.6839248865999509,0.6160095857311401,0.5432470809726594,0.3953149652518989
3,258,0.6201550387596899,0.7622265197331651,0.2992232754767833,0.6818369400089226,0.6137263868889241,0.5408537117464419,0.3930125471414389
4,262,0.5916030534351145,0.6291110530872556,0.2992232754767833,0.652287868865478,0.5817320711552496,0.5076655248776138,0.3617487628602473
5,258,0.5581395348837209,0.5239239546754229,0.2992232754767833,0.6280648594202881,0.5559399982417006,0.4813779684359985,0.33783231820381043
6,262,0.5916030534351145,0.6827109807220522,0.2992232754767833,0.6643434913790811,0.5947140188609786,0.5210536513055097,0.3742136515777118
7,253,0.5928853754940712,0.7037077105668387,0.2992232754767833,0.6690093060885003,0.5997646154109868,0.5262910192039258,0.3791434584756249
8,275,0.5927272727272728,0.6805973381259561,0.2992232754767833,0.6638720040426942,0.5942044673432602,0.520526154264561,0.37371881516117633
9,259,0.5173745173745173,0.3775999837712972,0.2992232754767833,0.5932941180370409,0.5195841527951561,0.44501167315502016,0.3059137318906052
10,276,0.5471014492753623,0.5131280042994104,0.2992232754767833,0.6255394649425158,0.5532732095962121,0.47868329257931785,0.33542149054953635
11,266,0.5451127819548872,0.5495107487740076,0.2992232754767833,0.6340220735394803,0.5622472565969412,0.48776849027037084,0.34357966026796294
12,259,0.5135135135135135,0.4241297581912215,0.2992232754767833,0.6044710411810329,0.531186085072586,0.4565308185639615,0.3158816428982414
13,241,0.4979253112033195,0.430526318200003,0.2992232754767833,0.605999341352271,0.5327786808331935,0.4581183078136648,0.31726556743294687
14,257,0.5291828793774319,0.5495176732601472,0.2992232754767833,0.6340236802824842,0.5622489608872899,0.48777022035608114,0.3435812219675526
15,230,0.5434782608695652,0.6685959733779584,0.2992232754767833,0.6611887029007207,0.5913073914380627,0.5175301674516247,0.37091414326394334
16,219,0.5068493150684932,0.522468475130103,0.2992232754767833,0.6277247969575747,0.5555806537691368,0.4810146131934723,0.33750680192783666
17,202,0.48514851485148514,0.3804329554422969,0.2992232754767833,0.5939775222767898,0.520291269452955,0.4457114585155482,0.306515588763155
18,219,0.4931506849315068,0.37793044554025096,0.2992232754767833,0.5933738547496067,0.519666640957806,0.4450932908570675,0.30598390351005805
19,193,0.5284974093264249,0.5828708187254253,0.2992232754767833,0.6417277138217106,0.570440239983074,0.49610614566451594,0.3511422076483961
