CareerAge,n,mean_restart,fit_mean_restart,median_restart,q90_restart,q95_restart,median_zero_run
0,269,4.225437441870185,5.139949515842015,3.2290636986567964,8.166201531163026,9.727961925421036,1.0
1,296,5.0338250465495245,4.998926039483777,3.902056991355255,9.311751079908237,12.114290006609322,1.0
2,206,5.245102673479058,4.931753013889446,4.353094199477136,10.09771545894099,13.250752588389478,1.0
3,160,5.4953047453396735,4.906985113322825,4.295879940054407,11.110976801911477,14.519613279567121,1.0
4,155,5.383136527850674,4.970608104983047,4.20778878591725,10.854783588374216,12.395023114169705,1.0
5,144,5.8862274948915445,4.852638202037594,3.990298766378574,12.080498349736411,16.736888025727527,1.0
6,155,4.723402001726364,4.855170144055109,3.581253346452926,9.562634139645539,12.140810379618118,1.0
7,150,3.9948920780894923,4.871773791342764,3.3204325390554494,6.833323560213351,8.67221566033894,1.0
8,163,4.12395724650314,3.9179074189493392,3.2290636986567964,7.544834152355499,10.57527270082962,1.0
9,134,4.108851467586351,3.885029911651396,2.9899073913855334,7.622073102180838,10.130860998671206,1.0
10,151,4.146389116820977,3.903969372144399,2.9143644012641174,8.681894503351716,10.423662277285722,1.0
11,145,3.842495967481219,3.873026436329439,2.9143644012641174,7.098217917769946,9.68719109597039,1.0
12,133,3.6098504584740643,3.9086649748972784,2.524241630437853,6.940733893734906,8.179927951481385,1.0
13,120,3.447669407780054,3.860565019537878,2.8536276617981287,6.4906075075643015,8.063672512983302,1.0
14,136,3.5332375733344983,3.341544607803845,2.493672272788119,7.20745978544486,10.825928563372031,1.0
15,125,3.775833740110292,3.3460983576582484,2.805192523944833,7.193942742998775,10.062140691760524,1.0
16,111,3.2503441024300432,3.282173072576863,2.6448091533287252,5.828728802528235,8.364047339230265,1.0
17,98,3.5691762301214762,3.317301320305085,2.7438474501702954,6.262395630759672,7.9050253687369745,1.0
18,108,3.013061144014123,3.3128284492578848,2.2768602012027097,6.3257718112520385,7.404294644262809,1.0
19,102,2.6815204484355935,3.303604799096137,1.9510284956776276,5.010404357050767,6.898073605570917,1.0
