active_duration_bin,n,dropout_rate,mean_q_t,median_q_t,source,se,lower,upper
1,4764,0.25146935348446686,4.8963927872550705,3.607450054863695,Empirical,0.006285812890208873,0.2391491602196575,0.26378954674927624
2,3429,0.14610673665791776,5.597746010201022,4.295879940054407,Empirical,0.006031886645701194,0.13428423883234342,0.1579292344834921
3,2840,0.09084507042253522,6.768667365937209,5.451813339128817,Empirical,0.0053927521653010435,0.08027527617854517,0.10141486466652526
4,2510,0.07808764940239044,7.8213763381698485,6.1309007630139,Empirical,0.005355488989440259,0.06759089098308753,0.08858440782169334
5,2211,0.06693803708729082,8.368717044341212,6.782928499820651,Empirical,0.005314927659726718,0.05652077887422645,0.07735529530035519
6,1957,0.054675523760858456,8.69512642268554,7.012981309862083,Empirical,0.0051391526107554715,0.04460278464377773,0.06474826287793918
7,1752,0.050799086757990865,8.72550130250266,7.21490010972739,Empirical,0.005246141196707397,0.040516650012444366,0.06108152350353736
8,1555,0.04244372990353698,8.777407861314915,7.235878353054118,Empirical,0.00511238705614519,0.03242345127349241,0.05246400853358155
9,1391,0.03163191948238677,8.756332399440584,7.162506692905852,Empirical,0.004692663802936994,0.02243429842863026,0.04082954053614328
10,6913,0.031245479531317805,9.40118443648664,7.510338103682923,Empirical,0.002092508301968063,0.027144163259460403,0.03534679580317521
1,118919,0.28765798568773704,4.690186517328348,3.604186090508067,Simulated,0.0013126739696045265,0.28508514470731217,0.2902308266681619
2,82203,0.14733038940184665,6.088389714067197,4.4879085128281,Simulated,0.0012362113512370762,0.14490741515342198,0.1497533636502713
3,68509,0.09252798902334,7.298259212693353,5.426167119566377,Simulated,0.0011070809227842614,0.09035811041468285,0.09469786763199715
4,60827,0.0752955102175021,8.23885469340697,6.073280478923156,Simulated,0.0010698867884617878,0.07319853211211699,0.0773924883228872
5,54904,0.0626548156782748,8.61175190643835,6.376149002265088,Simulated,0.0010342487666257425,0.060627688095688345,0.06468194326086125
6,50258,0.058338970910103864,8.753079880792018,6.483184243577012,Simulated,0.0010455001023770753,0.056289790709444794,0.060388151110762935
7,46349,0.053248182269304625,8.437168004392877,6.195495012732508,Simulated,0.0010429182878759382,0.05120406242506779,0.05529230211354146
8,42935,0.05193897752416443,8.163667990267925,5.947100463603575,Simulated,0.0010709251312429901,0.04983996426692817,0.054037990781400695
9,39729,0.04475320294998616,8.01816252152199,5.76881868790073,Simulated,0.0010373278540984558,0.042720040355953184,0.04678636554401913
10,290190,0.03511837072263,7.552360741561984,5.3024584310860705,Simulated,0.00034171416131478674,0.03444861096645302,0.03578813047880698
