year,n_active_transitions,observed_dropout_rate,restart_prob_if_zero_u_mid,dropout_intercept,dropout_gamma_log1p_q,dropout_scholar_coef_per_tau,pred_drop_q25_u_mid,pred_drop_q50_u_low,pred_drop_q50_u_mid,pred_drop_q50_u_high,pred_drop_q75_u_mid,pred_drop_q95_u_mid
0,1633,0.16411512553582364,0.6405010946072953,-0.8093517926816401,0.556907232166342,-0.7027233586475453,0.16625550135919356,0.23567769750191178,0.13247530383755965,0.07030778180012905,0.10464750554955629,0.07609411138062168
1,1710,0.10877192982456141,0.7051310694069988,-1.3140586888388928,0.556907232166342,-0.7027233586475453,0.10744508846905754,0.15693249658330466,0.08440444758003803,0.04366013172260479,0.06590728162987698,0.0473650921067716
2,1879,0.07503991484832358,0.6673909422030452,-1.6810222284557095,0.556907232166342,-0.7027233586475453,0.0769823867479394,0.11423491231868642,0.06003481612499533,0.030660446455961818,0.046606384296852744,0.03330067744457325
3,1989,0.0824534942182001,0.652073141155429,-1.5498847608735118,0.556907232166342,-0.7027233586475453,0.08683282923443082,0.1281900698146952,0.06787616678013089,0.03480718480353687,0.052792310080166834,0.03779057830606936
4,1997,0.0756134201301953,0.6246129861477349,-1.6069054915466796,0.556907232166342,-0.7027233586475453,0.08241672660794438,0.12195153519384128,0.06435620809511877,0.03294152974576365,0.050012608171981644,0.0357709405946971
5,1942,0.07723995880535531,0.5918019529194004,-1.5538971998916855,0.556907232166342,-0.7027233586475453,0.08651519834992885,0.12774231874412775,0.06762274354800256,0.0346726356522282,0.05259202659136343,0.03764494647320384
6,1880,0.07819148936170213,0.6300549806160383,-1.5440775428138331,0.556907232166342,-0.7027233586475453,0.08729440652058607,0.1288404717737748,0.06824450690884123,0.035002809965038566,0.05308345695703002,0.038002310711985475
7,1806,0.09523809523809523,0.6315023644719145,-1.324238100772327,0.556907232166342,-0.7027233586475453,0.1064727700942021,0.1555904111163597,0.0836210999281273,0.043237070212774065,0.06528336364430871,0.04690789087327606
8,1710,0.08596491228070176,0.6312909947444082,-1.4552961119350423,0.556907232166342,-0.7027233586475453,0.09463202205153406,0.13913791234098064,0.07411088546043695,0.03812862529110153,0.05772731787077089,0.04138449959167895
9,1636,0.09352078239608802,0.5556713019120367,-1.3522305797603944,0.556907232166342,-0.7027233586475453,0.10383885534752724,0.15194805560193497,0.08150092521944918,0.042093780484473035,0.06359586708819563,0.04567216953593413
10,1538,0.0929778933680104,0.5826583913080319,-1.3762535008558712,0.556907232166342,-0.7027233586475453,0.10162454997255724,0.14887828044543555,0.07972058914667099,0.04113571582390744,0.062180177467939794,0.044636455041284155
11,1444,0.09695290858725762,0.5822021287060177,-1.3048374457195184,0.556907232166342,-0.7027233586475453,0.10833261802883652,0.1581563733507847,0.0851198047538793,0.04404677909316629,0.06647725121796134,0.04778291067472305
12,1340,0.0873134328358209,0.5527401012698903,-1.4020887950676362,0.556907232166342,-0.7027233586475453,0.09929002224761253,0.14563420741502003,0.07784563975213822,0.04012867400827174,0.06069055548355603,0.043547603970333734
13,1252,0.10862619808306709,0.5336410244070711,-1.168241038311525,0.556907232166342,-0.7027233586475453,0.12225034467013514,0.1772029881843523,0.09637766803603885,0.05017025926842267,0.07547287136957773,0.05439624056807059
14,1110,0.0990990990990991,0.5633193661051366,-1.2674829651432586,0.556907232166342,-0.7027233586475453,0.11199407954395446,0.1631935950679651,0.08807420609955949,0.04564671543214932,0.06883327611130503,0.049511527869895655
15,1041,0.11047070124879924,0.5742938996422203,-1.1377534074286717,0.556907232166342,-0.7027233586475453,0.12555968222641983,0.1816919783292163,0.09906567475451178,0.05164317845738815,0.07762792370832788,0.05598591490172734
16,955,0.10157068062827225,0.5375498646089477,-1.209061199388344,0.556907232166342,-0.7027233586475453,0.11793723538708153,0.1713295313127244,0.09288078051505715,0.04826038237694073,0.07267347473359931,0.052334353360924776
17,892,0.13452914798206278,0.5132857039242874,-0.8460632807883233,0.556907232166342,-0.7027233586475453,0.16122890445455212,0.22912900238648526,0.12831284309996174,0.06794567679463849,0.10125735638158553,0.07355298529469384
18,804,0.10323383084577115,0.5213254176146955,-1.1489344238705452,0.556907232166342,-0.7027233586475453,0.12433719950376726,0.18003549745176423,0.09807221428740341,0.05109831233725989,0.07683111375436585,0.05539790680700306
19,764,0.10863874345549739,0.5552026055382366,-1.0788915817137867,0.556907232166342,-0.7027233586475453,0.13216608325204715,0.1906080335389213,0.10444457852926202,0.05460327015799743,0.08194871232661768,0.05917939127623677
