year,restart_prob_if_zero_u_mid,dropout_intercept,dropout_gamma_log1p_q,dropout_scholar_coef_per_tau,pred_drop_q50_u_low,pred_drop_q50_u_mid,pred_drop_q50_u_high,restart_intercept,restart_scholar_coef_per_tau,pred_restart_u_low,pred_restart_u_mid,pred_restart_u_high,positive_ar1_scholar_coef_per_tau
0,0.6405010946072953,-0.8093517926816401,0.556907232166342,-0.7027233586475453,0.23567769750191178,0.13247530383755965,0.07030778180012905,0.5775396979723298,0.28817476888171817,0.5718406499542631,0.6405010946072953,0.7038531859293353,0.5195259425541734
1,0.7051310694069988,-1.3140586888388928,0.556907232166342,-0.7027233586475453,0.15693249658330466,0.08440444758003803,0.04366013172260479,0.8718527450514821,0.28817476888171817,0.6419132687802181,0.7051310694069988,0.7613377142320323,0.5195259425541734
2,0.6673909422030452,-1.6810222284557095,0.556907232166342,-0.7027233586475453,0.11423491231868642,0.06003481612499533,0.030660446455961818,0.6964081947665459,0.28817476888171817,0.6006642119672326,0.6673909422030452,0.7280166294113009,0.5195259425541734
3,0.652073141155429,-1.5498847608735118,0.556907232166342,-0.7027233586475453,0.1281900698146952,0.06787616678013089,0.03480718480353687,0.6281644533707552,0.28817476888171817,0.5841880171722876,0.652073141155429,0.7142956101784613,0.5195259425541734
4,0.6246129861477349,-1.6069054915466796,0.556907232166342,-0.7027233586475453,0.12195153519384128,0.06435620809511877,0.03294152974576365,0.5091747050497658,0.28817476888171817,0.5550262050276344,0.6246129861477349,0.6894072225997738,0.5195259425541734
5,0.5918019529194004,-1.5538971998916855,0.556907232166342,-0.7027233586475453,0.12774231874412775,0.06762274354800256,0.0346726356522282,0.37141957378350665,0.28817476888171817,0.5207991916035165,0.5918019529194004,0.6591692572718414,0.5195259425541734
6,0.6300549806160383,-1.5440775428138331,0.556907232166342,-0.7027233586475453,0.1288404717737748,0.06824450690884123,0.035002809965038566,0.5324526880596211,0.28817476888171817,0.560767604359752,0.6300549806160383,0.6943695155659756,0.5195259425541734
7,0.6315023644719145,-1.324238100772327,0.556907232166342,-0.7027233586475453,0.1555904111163597,0.0836210999281273,0.043237070212774065,0.5386673908673357,0.28817476888171817,0.5622977482301655,0.6315023644719145,0.6956868073890474,0.5195259425541734
8,0.6312909947444082,-1.4552961119350423,0.556907232166342,-0.7027233586475453,0.13913791234098064,0.07411088546043695,0.03812862529110153,0.5377591913645593,0.28817476888171817,0.5620742104531795,0.6312909947444082,0.6954945013295922,0.5195259425541734
9,0.5556713019120367,-1.3522305797603944,0.556907232166342,-0.7027233586475453,0.15194805560193497,0.08150092521944918,0.042093780484473035,0.22361233627507762,0.28817476888171817,0.48386499609743694,0.5556713019120367,0.6252253201034761,0.5195259425541734
10,0.5826583913080319,-1.3762535008558712,0.556907232166342,-0.7027233586475453,0.14887828044543555,0.07972058914667099,0.04113571582390744,0.33369597295647935,0.28817476888171817,0.5113783362564569,0.5826583913080319,0.6506438999419322,0.5195259425541734
11,0.5822021287060177,-1.3048374457195184,0.556907232166342,-0.7027233586475453,0.1581563733507847,0.0851198047538793,0.04404677909316629,0.3318199335453096,0.28817476888171817,0.5109095594188702,0.5822021287060177,0.6502173437226032,0.5195259425541734
12,0.5527401012698903,-1.4020887950676362,0.556907232166342,-0.7027233586475453,0.14563420741502003,0.07784563975213822,0.04012867400827174,0.21174805685116505,0.28817476888171817,0.48090261680614943,0.5527401012698903,0.6224411947912027,0.5195259425541734
13,0.5336410244070711,-1.168241038311525,0.556907232166342,-0.7027233586475453,0.1772029881843523,0.09637766803603885,0.05017025926842267,0.13476770250702938,0.28817476888171817,0.46172327015880976,0.5336410244070711,0.6041871425835826,0.5195259425541734
14,0.5633193661051366,-1.2674829651432586,0.556907232166342,-0.7027233586475453,0.1631935950679651,0.08807420609955949,0.04564671543214932,0.2546446120111114,0.28817476888171817,0.4916182460481689,0.5633193661051366,0.6324680335076217,0.5195259425541734
15,0.5742938996422203,-1.1377534074286717,0.556907232166342,-0.7027233586475453,0.1816919783292163,0.09906567475451178,0.05164317845738815,0.2993920826527311,0.28817476888171817,0.5028042990378401,0.5742938996422203,0.6428066739177029,0.5195259425541734
16,0.5375498646089477,-1.209061199388344,0.556907232166342,-0.7027233586475453,0.1713295313127244,0.09288078051505715,0.04826038237694073,0.15048279129501763,0.28817476888171817,0.46563128838451917,0.5375498646089477,0.607939107762483,0.5195259425541734
17,0.5132857039242874,-0.8460632807883233,0.556907232166342,-0.7027233586475453,0.22912900238648526,0.12831284309996174,0.06794567679463849,0.05315532797756168,0.28817476888171817,0.44151409382992957,0.5132857039242874,0.5845135831405509,0.5195259425541734
18,0.5213254176146955,-1.1489344238705452,0.556907232166342,-0.7027233586475453,0.18003549745176423,0.09807221428740341,0.05109831233725989,0.08535345089837158,0.28817476888171817,0.4494677783615311,0.5213254176146955,0.5923112448202569,0.5195259425541734
19,0.5552026055382366,-1.0788915817137867,0.556907232166342,-0.7027233586475453,0.1906080335389213,0.10444457852926202,0.05460327015799743,0.221714217009508,0.28817476888171817,0.483390975094047,0.5552026055382366,0.6247804498092748,0.5195259425541734
