year,n,mu,threshold_c,kappa,sigma_resid,var_resid,mean_resid,sd_resid,mean_log_delta_pos,frac_above_threshold,mean_threshold_excess,threshold_quantile
0,1365,0.21695160911107078,1.443452077137903,0.4963529124351974,0.7009941192207781,0.4913927551821145,-1.0410882575239563e-16,0.7009941192207781,0.06908112404743325,0.4981684981684982,0.2979140070683942,0.5
1,1524,0.3701484795611572,1.5406652072715432,0.4963529124351974,0.6849601331316953,0.46917038397978983,-2.610918189144725e-16,0.6849601331316953,0.228589563056993,0.49868766404199477,0.2851981180278569,0.5
2,1738,0.2749379839604043,1.7627989324240634,0.4963529124351974,0.6742074887772616,0.45455573792334125,-2.0594700986142144e-16,0.6742074887772616,0.1425585430203742,0.49712313003452246,0.2667042695298238,0.5
3,1825,0.20179464046567175,1.8816292218956567,0.4963529124351974,0.6716478994130143,0.45111090078591454,2.2659499847253605e-15,0.6716478994130143,0.06057837309984588,0.49917808219178084,0.2845077843363415,0.5
4,1846,0.16727816370766382,1.9740837289575692,0.4963529124351974,0.6568365070132587,0.4314341969453786,-2.1064166421707194e-15,0.6568365070132587,0.0334116451702622,0.4989165763813651,0.26970027813602643,0.5
5,1792,0.05419374817187965,2.024552961901978,0.4963529124351974,0.6781676722718845,0.4599113917146661,-8.247371040072592e-16,0.6781676722718845,-0.07672580359750773,0.49832589285714285,0.2637630373257437,0.5
6,1733,0.055302915931648516,1.979051756039348,0.4963529124351974,0.6683502621153152,0.44669207286961055,-2.0500367448358343e-16,0.6683502621153152,-0.08075727626283281,0.49913444893248704,0.27411986267380833,0.5
7,1634,0.05393959183432747,1.9381853241856501,0.4963529124351974,0.6926334849566813,0.4797411444832373,1.5219703642352206e-17,0.6926334849566813,-0.0804288482526006,0.49877600979192166,0.27071149724435417,0.5
8,1563,0.09511912323358179,1.8642255482009809,0.4963529124351974,0.6869747086062812,0.47193425026468494,-1.102409554842126e-16,0.6869747086062812,-0.049133329120133226,0.4984005118362124,0.2906247726964796,0.5
9,1483,0.10061993800887772,1.8494035054674258,0.4963529124351974,0.6929562557201996,0.48018837234175865,1.2097912392408987e-16,0.6929562557201996,-0.04517573301032138,0.4983142279163857,0.29373388846234266,0.5
10,1395,0.10732153483082965,1.848917185246067,0.4963529124351974,0.695904922474245,0.4842836611238849,2.801422972530861e-16,0.695904922474245,-0.03907900269426014,0.4974910394265233,0.29495251031533687,0.5
11,1304,0.08566078253585484,1.8568145268342033,0.4963529124351974,0.6793922905307231,0.4615738844325825,-1.3486144716305584e-16,0.6793922905307231,-0.06164795614988585,0.5,0.29678225914504497,0.5
12,1223,0.07777235497647811,1.8133416825484128,0.4963529124351974,0.7095246513475443,0.5034252308698542,-5.664588449436613e-17,0.7095246513475444,-0.06970022906466648,0.4971381847914963,0.297112357652174,0.5
13,1116,0.03974708612232479,1.817712634605052,0.4963529124351974,0.6847158459709375,0.4688357897236966,2.363700633072914e-16,0.6847158459709375,-0.10819182761883914,0.4982078853046595,0.29805187001996025,0.5
14,1000,0.1185128456132006,1.7558637673916955,0.4963529124351974,0.6888037640990022,0.47445062543695393,-4.0234482412415674e-16,0.6888037640990022,-0.03969557932374002,0.495,0.31874180844581124,0.5
15,926,0.11873107822283278,1.7627989324240634,0.4963529124351974,0.7067269487177349,0.4994629800438799,-2.1628966916023567e-16,0.7067269487177348,-0.04194674589317795,0.49892008639308855,0.32371689596359166,0.5
16,858,0.13020112938424658,1.8133416825484128,0.4963529124351974,0.6710068264088758,0.45025016108731114,-1.946125208666941e-16,0.6710068264088758,-0.02045682741132561,0.4988344988344988,0.3035299139405,0.5
17,772,0.054906772806730085,1.8642255482009809,0.4963529124351974,0.6634553195444327,0.4401729610318053,-1.3345686099121053e-16,0.6634553195444327,-0.09445797897197869,0.49740932642487046,0.300924499557982,0.5
18,721,0.11382105682206176,1.8133416825484128,0.4963529124351974,0.7002846516484489,0.4903985933343894,2.4514217131806507e-16,0.7002846516484489,-0.036818711454209264,0.49791955617198336,0.30349326961174716,0.5
19,681,0.10590052338192288,1.758568974915786,0.4963529124351974,0.685538845271181,0.4699635083757443,-3.8670323265945247e-16,0.685538845271181,-0.06298507378378204,0.49632892804698975,0.3402530597375185,0.5
